Code,Rank,True Rank,Entity,Instances,Accuracy,Value,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv,corruption.csv,freedom.csv,undernourishment.csv
MYS,57,78,Malaysia,20,100.0,67.80824805229888,21.52164,8.16206,70.4,7.11,0.19,11.09,1.55,26628.707,5.955,76.6571,96,22,98.5,14.599999,39.44,14.41,0.733,0.324,53,2.5
MDV,69,93,Maldives,17,85.0,64.83443399403497,13.00334,4.3694687,131.8,,0.25,7.4103727,1.575,,5.198,81.0412,98.21186,26.3,94.8,12.9800005,38.79,2.29,0.544,0.418,43,
MLI,157,188,Mali,20,100.0,36.44319903672905,38.54882,0.2850997,48.9,2.4,0.02,1.63,5.614,1651.9413,4.345,60.4394,35,8,82,11.93,44.23,66.12,0.673,0.75,24,9.6
MLT,22,25,Malta,20,100.0,79.46579193691893,12.93003,3.2037206,46.9,7.93,1.39,12.420702,1.098,34496.34,6.316,83.2989,95,24.7,100,8.87,31.43,4.59,0.914,0.194,87,2.5
MHL,33,41,Marshall Islands,12,60.0,76.5347490395264,7.21485,4.1115723,10.6,,0.14,11.636664,2.919,,,66.9454,98,29.8,,16.03,48.41,,,,93,
MRT,142,172,Mauritania,20,100.0,42.281837488209874,41.98461,1.0134012,41.2,3.96,0.03,4.852026,4.697,3680.3662,4.542,68.4836,59.52966,9.5,87.857,9.8,39.29,37.79,0.344,0.849,39,9.3
MUS,56,77,Mauritius,20,100.0,67.81846823979856,10.48182,3.6766226,88.1,8.23,2.45,10.103328,1.241,20643.094,5.832,74.9263,93,20.9,83.6,15.73,46.77,5.47,0.708,0.454,86,5.9
MEX,67,91,Mexico,20,100.0,65.09650154954201,17.82781,3.5227275,58.9,5.32,0.49,9.349511,1.91,16235.455,6.979,75.069,95,14.9,87.4,21.58,59.63,3.54,0.623,0.564,59,3.1
FSM,45,60,Micronesia (country),11,55.00000000000001,73.08291501557454,7.78563,1.3309593,9.3,,0.15,7.332524,2.748,,,67.1983,,,,16.03,48.41,14.04,,,92,
MDA,47,65,Moldova,20,100.0,71.28781005077134,12.36523,1.7551568,37.8,6.04,0.62,11.83,1.731,6674.871,5.819,71.1985,99,29.7,88,10.679999,34.14,3.57,0.875,0.329,60,2.5
MCO,11,14,Monaco,8,40.0,83.21453216925673,9.21092,,,,0.19,,2.11,,,86.3724,99,,,11.5,35.670002,,,,82,
MNG,65,88,Mongolia,20,100.0,65.9300461545902,41.30377,12.859549,46.6,6.53,0.74,9.42,2.685,13442.906,5.833,71.7341,98.72622,29.5,98,16.060001,42.399998,3.16,0.726,0.719,84,2.5
MNE,42,56,Montenegro,20,100.0,73.57356556268947,19.29617,3.7217364,60.8,6.73,0.17,12.773926,1.803,20941.805,5.877,77.0869,98.5344,32,98.333,9.929999,35.94,1.83,0.819,0.498,69,2.5
MAR,100,127,Morocco,20,100.0,56.96851546368167,13.44048,1.813556,67.2,4.97,1.27,6.198,2.23,8400.127,4.622,75.3128,76,13,90.8,13.2300005,47.600002,4.55,0.651,0.639,37,6.9
MOZ,165,196,Mozambique,19,95.0,33.91929535471568,16.44818,0.24869162,97.2,3.38,0.4,4.59049,4.763,1087.836,5.19,63.6111,60,,88.125,24.65,59.45,45.56,0.479,0.729,41,24.8
MMR,132,161,Myanmar,20,100.0,45.21794603600156,27.16498,0.5798787,63.5,0.96,0.11,6.38,2.115,5177.4326,4.321,66.889,89,44.4,52.4,16.63,42.76,12.9,0.18,0.831,7,5.3
NAM,107,136,Namibia,20,100.0,54.09219799991251,11.81074,1.1448735,63.6,6.48,0.36,7.2731466,3.212,7979.328,4.911,67.3848,92,14.1,94.8,21.529999,63.98,28.81,0.81,0.279,73,22.2
NRU,74,100,Nauru,12,60.0,62.82035637887067,7.40486,5.129512,15,,0.16,9.448638,3.331,,,62.1094,96.58654,48.3,,16.03,48.41,,,,75,
